Factory_to_State,Shipment_Count,Average_Lead_Time,Min_Lead_Time,Max_Lead_Time
The Other Factory → Louisiana,1,907.0,907,907
The Other Factory → Maryland,1,1274.0,1274,1274
The Other Factory → Massachusetts,3,1150.6666666666667,907,1273
The Other Factory → Missouri,1,1275.0,1275,1275
The Other Factory → Nevada,1,1638.0,1638,1638
The Other Factory → New Hampshire,2,1088.5,906,1271
The Other Factory → New Jersey,3,1395.3333333333333,1273,1639
The Other Factory → New York,14,1351.9285714285713,906,1641
The Other Factory → North Carolina,1,1635.0,1635,1635
The Other Factory → Ohio,3,1272.0,1271,1274
The Other Factory → Oregon,2,1089.0,906,1272
The Other Factory → Pennsylvania,7,1273.0,908,1637
The Other Factory → Rhode Island,1,1273.0,1273,1273
The Other Factory → South Carolina,1,1273.0,1273,1273
The Other Factory → Tennessee,3,1395.6666666666667,1271,1640
The Other Factory → Texas,9,1191.5555555555557,906,1638
The Other Factory → Virginia,4,1180.5,908,1273
The Other Factory → Washington,4,1275.0,909,1639
Wicked Choccy's → Alabama,22,1272.7272727272727,906,1639
Wicked Choccy's → Alberta,8,1274.375,909,1640
Wicked Choccy's → Arizona,105,1322.1142857142856,904,1642
Wicked Choccy's → Arkansas,27,1273.5185185185185,908,1642
Wicked Choccy's → British Columbia,4,1364.75,908,1639
Wicked Choccy's → California,823,1320.3268529769136,904,1642
Wicked Choccy's → Colorado,70,1319.8428571428572,904,1641
Wicked Choccy's → Connecticut,31,1272.8709677419354,904,1642
Wicked Choccy's → Delaware,49,1273.7142857142858,906,1641
Wicked Choccy's → District of Columbia,2,1275.0,1275,1275
Wicked Choccy's → Florida,161,1305.0931677018634,904,1642
Wicked Choccy's → Georgia,65,1346.1538461538462,904,1642
Wicked Choccy's → Idaho,7,1325.0,908,1640
Wicked Choccy's → Illinois,210,1329.1285714285714,906,1642
Wicked Choccy's → Indiana,54,1402.462962962963,904,1642
Wicked Choccy's → Iowa,14,1403.7857142857142,909,1641
Wicked Choccy's → Kansas,9,1314.0,908,1639
Wicked Choccy's → Kentucky,58,1323.8103448275863,904,1641
Wicked Choccy's → Louisiana,15,1272.2666666666667,906,1640
Wicked Choccy's → Maine,2,908.0,908,908
Wicked Choccy's → Manitoba,10,1455.6,1271,1639
Wicked Choccy's → Maryland,41,1326.7073170731708,908,1642
Wicked Choccy's → Massachusetts,54,1334.4444444444443,906,1642
Wicked Choccy's → Michigan,100,1291.85,906,1642
Wicked Choccy's → Minnesota,45,1330.6888888888889,906,1642
Wicked Choccy's → Mississippi,22,1240.4545454545455,907,1640
Wicked Choccy's → Missouri,29,1311.103448275862,907,1642
Wicked Choccy's → Montana,7,1221.857142857143,904,1639
Wicked Choccy's → Nebraska,14,1299.2857142857142,905,1641
Wicked Choccy's → Nevada,12,1182.25,908,1639
Wicked Choccy's → New Brunswick,4,1273.25,908,1639
Wicked Choccy's → New Hampshire,11,1340.090909090909,906,1641
Wicked Choccy's → New Jersey,59,1335.3898305084747,906,1642
Wicked Choccy's → New Mexico,17,1488.8823529411766,909,1641
Wicked Choccy's → New York,436,1311.883027522936,904,1642
Wicked Choccy's → North Carolina,101,1352.7623762376238,904,1642
Wicked Choccy's → North Dakota,2,1637.0,1637,1637
Wicked Choccy's → Nova Scotia,6,1272.6666666666667,906,1639
Wicked Choccy's → Ohio,189,1313.3544973544974,904,1642
Wicked Choccy's → Oklahoma,25,1332.0,909,1642
Wicked Choccy's → Ontario,30,1248.5666666666666,906,1639
Wicked Choccy's → Oregon,43,1316.1627906976744,906,1642
Wicked Choccy's → Pennsylvania,227,1339.2202643171806,906,1642
Wicked Choccy's → Prince Edward Island,4,1457.0,1274,1640
Wicked Choccy's → Quebec,24,1243.5833333333333,907,1642
Wicked Choccy's → Rhode Island,21,1359.6666666666667,906,1640
Wicked Choccy's → Saskatchewan,2,1457.0,1274,1640
Wicked Choccy's → South Carolina,19,1234.2105263157894,904,1641
Wicked Choccy's → South Dakota,3,1152.0,908,1640
Wicked Choccy's → Tennessee,67,1393.7611940298507,908,1641
Wicked Choccy's → Texas,388,1315.6082474226805,904,1642
Wicked Choccy's → Utah,23,1273.4782608695652,909,1639
Wicked Choccy's → Vermont,5,1418.6,1271,1638
Wicked Choccy's → Virginia,106,1238.877358490566,904,1642
Wicked Choccy's → Washington,221,1375.7239819004526,904,1642
Wicked Choccy's → West Virginia,2,1639.0,1639,1639
Wicked Choccy's → Wisconsin,47,1312.2340425531916,906,1641
